# Lineuparr v1.26.1062103
# Generated: 2026-04-16 15:05:28
# Lineup: US-CA-UK_CustomProvider-Merged_lineup.json
# Category Detail: normal
# Group Prefix: (auto)
# Match Sensitivity: exact
# Quality Ordering: True
# Rate Limiting: none
# M3U Sources: custom, 3-Crystal, 2-Dino, 1-Mega, 4-Lion (all)
# EPG Sources: EPG (all)
# Channel Profile: DirecTV
#
channel_name,channel_number,channel_group,matched_epg_name,matched_tvg_id,epg_source,confidence_score,has_program_data,match_method,status
GREAT! Romance,620,Merged: Movies,[UK] GREAT ROMANCE,GREAT!romance.uk,EPG,100,Yes,fuzzy (100),Matched
LEGEND XTRA,621,Merged: Movies,[UK] LEGEND XTRA,LegendXtra.uk,EPG,100,Yes,exact,Matched
Sky Cinema Premiere,623,Merged: Movies,[UK] SKY CINEMA PREMIERE,SkyCinemaPremiere.uk,EPG,100,Yes,exact,Matched
Sky Cinema Hits,625,Merged: Movies,[UK] SKY CINEMA HITS,SkyCinemaHits.uk,EPG,100,Yes,exact,Matched
Sky Cinema Family,626,Merged: Movies,[UK] SKY CINEMA FAMILY,SkyCinemaFamily.uk,EPG,100,Yes,exact,Matched
Sky Cinema Action,627,Merged: Movies,[UK] SKY CINEMA ACTION,SkyCinemaAction.uk,EPG,100,Yes,alias,Matched
Sky Cinema Greats,628,Merged: Movies,[UK] SKY CINEMA GREATS,SkyCinemaGreats.uk,EPG,100,Yes,exact,Matched
Sky Cinema Comedy,629,Merged: Movies,[UK] SKY CINEMA COMEDY,SkyCinemaComedy.uk,EPG,100,Yes,exact,Matched
Sky Cinema Thriller,630,Merged: Movies,[UK] SKY CINEMA THRILLER,SkyCinemaThriller.uk,EPG,100,Yes,exact,Matched
Sky Cinema Drama,631,Merged: Movies,[UK] SKY CINEMA DRAMA,SkyCinemaDrama.uk,EPG,100,Yes,exact,Matched
Sky Cinema SciFi/Horror,632,Merged: Movies,[UK] SKY CINEMA SCIFI/HORROR,SkyCinemaSci-fiAndHorror.uk,EPG,100,Yes,exact,Matched
Sky Cinema Animation,633,Merged: Movies,[UK] SKY CINEMA ANIMATION,SkyCinemaAnimation.uk,EPG,100,Yes,alias,Matched
Talking Pictures,634,Merged: Movies,[UK] TALKING PICTURES TV,TalkingPicturesTV.uk,EPG,100,Yes,exact,Matched
BabyTV,700,Merged: Kids,,,,0,No,,No match
Cartoon Network,702,Merged: Kids,[CA] CARTOON NETWORK,CartoonNetwork.ca,EPG,100,Fallback,alias,Matched (no programs)
Disney Channel,704,Merged: Kids,[CA] DISNEY CHANNEL,DisneyChannel.ca,EPG,100,Fallback,exact,Matched (no programs)
Disney Junior,705,Merged: Kids,,,,0,No,,No match
Disney XD,706,Merged: Kids,,,,0,No,,No match
Family Channel,707,Merged: Kids,,,,0,No,,No match
Family Jr,708,Merged: Kids,,,,0,No,,No match
Nickelodeon,709,Merged: Kids,,,,0,No,,No match
Teletoon,710,Merged: Kids,[CA] TELETOON,TeletoonFrancais.ca,EPG,100,Yes,exact,Matched
Treehouse,711,Merged: Kids,[CA] TREEHOUSE,Treehouse.ca,EPG,100,Yes,exact,Matched
YTV,713,Merged: Kids,,,,0,No,,No match
Animal Planet,714,Merged: Kids,[US] ANIMAL PLANET,AnimalPlanet.us,EPG,100,Yes,alias,Matched
Baby TV,715,Merged: Kids,[US] BABYTV,BabyTV.us,EPG,100,Yes,alias,Matched
BabyFirstTV,716,Merged: Kids,[US] BABY FIRST,BabyFirst.us,EPG,100,Yes,alias,Matched
Boomerang,717,Merged: Kids,[US] BOOMERANG,Boomerang.us,EPG,100,Yes,exact,Matched
Disney Junior,722,Merged: Kids,,,,0,No,,No match
Disney XD,723,Merged: Kids,,,,0,No,,No match
Nick Jr.,724,Merged: Kids,,,,0,No,,No match
Nick Music,725,Merged: Kids,[US] NICK MUSIC,NickMusic.us,EPG,100,Yes,exact,Matched
Nick/Nick at Nite (E),726,Merged: Kids,[US] NICKELODEON EAST,Nickelodeon.us,EPG,100,Yes,alias,Matched
Nick/Nick at Nite (W),727,Merged: Kids,[US] NICKELODEON WEST,NickelodeonPacific.us,EPG,100,Fallback,alias,Matched (no programs)
Nicktoons,728,Merged: Kids,,,,0,No,,No match
TeenNick,729,Merged: Kids,,,,0,No,,No match
BabyFirst HD,730,Merged: Kids,[US] BABY FIRST,BabyFirst.us,EPG,100,Yes,exact,Matched
Cartoon Network East,731,Merged: Kids,[US] CARTOON NETWORK EAST,CartoonNetwork.us,EPG,100,Yes,alias,Matched
Disney Channel East,732,Merged: Kids,,,,0,No,,No match
MeTV Toons,735,Merged: Kids,[US] METV TOONS,MeTvToons.us,EPG,100,Yes,exact,Matched
Nickelodeon East,736,Merged: Kids,[US] NICKELODEON EAST,Nickelodeon.us,EPG,100,Yes,alias,Matched
PBS Kids,737,Merged: Kids,,,,0,No,,No match
Cartoon Network,739,Merged: Kids,,,,0,No,,No match
Discovery Family Channel,740,Merged: Kids,[US] DISCOVERY FAMILY,DiscoveryFamilyChannel.us,EPG,100,Yes,exact,Matched
Disney Channel,741,Merged: Kids,,,,0,No,,No match
Nickelodeon,743,Merged: Kids,,,,0,No,,No match
Baby TV,744,Merged: Kids,[UK] BABY TV,BabyTV.uk,EPG,100,Fallback,alias,Matched (no programs)
Boomerang,745,Merged: Kids,[UK] BOOMERANG,Boomerang.uk,EPG,100,Fallback,exact,Matched (no programs)
Cartoonito,746,Merged: Kids,[UK] CARTOONITO,Cartoonito.uk,EPG,100,Yes,exact,Matched
Cartoon Network,747,Merged: Kids,[UK] CARTOON NETWORK,CartoonNetwork.uk,EPG,100,Fallback,alias,Matched (no programs)
CBBC,748,Merged: Kids,,,,0,No,,No match
CBeebies,749,Merged: Kids,,,,0,No,,No match
Disney Jr HD,751,Merged: Kids,[UK] DISNEY JUNIOR,DisneyJr.uk,EPG,100,Fallback,alias,Matched (no programs)
Nickelodeon,752,Merged: Kids,[UK] NICKELODEON,Nickelodeon.uk,EPG,100,Fallback,exact,Matched (no programs)
Nick Jr.,753,Merged: Kids,,,,0,No,,No match
Nick Jr. Too,754,Merged: Kids,[UK] NICK JR. TOO,NickJrToo.uk,EPG,100,Yes,exact,Matched
Nicktoons,755,Merged: Kids,[UK] NICKTOONS,Nicktoons.uk,EPG,100,Fallback,exact,Matched (no programs)
Sky Kids,757,Merged: Kids,[UK] SKY KIDS,SkyKids.uk,EPG,100,Yes,exact,Matched
A&E,800,Merged: Entertainment,[CA] A&E,AandE.ca,EPG,100,Fallback,alias,Matched (no programs)
ABC Spark,801,Merged: Entertainment,,,,0,No,,No match
AMC,802,Merged: Entertainment,[CA] AMC,AMC.ca,EPG,100,Fallback,alias,Matched (no programs)
BBC Canada,803,Merged: Entertainment,,,,0,No,,No match
Bravo,804,Merged: Entertainment,[CA] BRAVO,Bravo.ca,EPG,100,Fallback,alias,Matched (no programs)
DejaView,806,Merged: Entertainment,[CA] DEJAVIEW,DejaView.ca,EPG,100,Yes,exact,Matched
E!,807,Merged: Entertainment,,,,0,No,,No match
Game Show Network,810,Merged: Entertainment,[CA] GAME SHOW NETWORK,GameShowNetwork.ca,EPG,100,Fallback,exact,Matched (no programs)
Lifetime,811,Merged: Entertainment,[CA] LIFETIME,Lifetime.ca,EPG,100,Fallback,alias,Matched (no programs)
One,812,Merged: Entertainment,[CA] ONE,EuroNews.ca,EPG,100,Fallback,exact,Matched (no programs)
OUTtv,813,Merged: Entertainment,[CA] OUTTV,OUTtv.ca,EPG,100,Yes,exact,Matched
OWN,814,Merged: Entertainment,[CA] OWN,KelownaRockets.whl,EPG,100,Fallback,alias,Matched (no programs)
Showcase,815,Merged: Entertainment,[CA] SHOWCASE,Showcase.ca,EPG,100,Fallback,exact,Matched (no programs)
Space,816,Merged: Entertainment,[CA] SPACE,CTVSciFiChannel.ca,EPG,100,Yes,exact,Matched
VICELAND,818,Merged: Entertainment,,,,0,No,,No match
A&E,820,Merged: Entertainment,[US] A&E,AandENetwork.us,EPG,100,Yes,alias,Matched
AMC,821,Merged: Entertainment,,,,0,No,,No match
AXS TV,822,Merged: Entertainment,[US] AXS TV,AXSTV.us,EPG,100,Yes,exact,Matched
BBC America,823,Merged: Entertainment,,,,0,No,,No match
BET,824,Merged: Entertainment,,,,0,No,,No match
BET Gospel,825,Merged: Entertainment,[US] BET GOSPEL,BETGospel.us,EPG,100,Yes,exact,Matched
BET Her,826,Merged: Entertainment,,,,0,No,,No match
BET Jams,827,Merged: Entertainment,[US] BET JAMS,BETJams.us,EPG,100,Yes,exact,Matched
BET Soul,828,Merged: Entertainment,[US] BET SOUL,BETSOUL.us,EPG,100,Yes,exact,Matched
Bravo,829,Merged: Entertainment,,,,0,No,,No match
Comet,830,Merged: Entertainment,,,,0,No,,No match
E! Entertainment Television,831,Merged: Entertainment,,,,0,No,,No match
FETV,832,Merged: Entertainment,[US] FETV,FETV.us,EPG,100,Yes,alias,Matched
Freeform,833,Merged: Entertainment,,,,0,No,,No match
FX,834,Merged: Entertainment,[US] FX,FX.us,EPG,100,Fallback,alias,Matched (no programs)
FXX,835,Merged: Entertainment,,,,0,No,,No match
FYI,836,Merged: Entertainment,[US] FYI,FYIChannel.us,EPG,100,Yes,exact,Matched
getTV,837,Merged: Entertainment,,,,0,No,,No match
GRIT,838,Merged: Entertainment,[US] GRIT TV,Grit.us,EPG,100,Yes,exact,Matched
GSN,839,Merged: Entertainment,[US] GSN,DraftKingsNetwork.us,EPG,100,Yes,alias,Matched
Hallmark Channel,840,Merged: Entertainment,[US] HALLMARK CHANNEL,HallmarkChannel.us,EPG,100,Yes,alias,Matched
Hallmark Drama,841,Merged: Entertainment,[US] HALLMARK DRAMA,HallmarkFamily.us,EPG,100,Yes,exact,Matched
IFC,842,Merged: Entertainment,[US] IFC,IFC.us,EPG,100,Yes,exact,Matched
Ion,843,Merged: Entertainment,[US] ION,P+ScottishProfessionalFootballLeague11.us,EPG,100,Yes,exact,Matched
LAFF TV,844,Merged: Entertainment,[US] LAFF,Laff.us,EPG,100,Yes,exact,Matched
Lifetime,845,Merged: Entertainment,[US] LIFETIME,Lifetime.us,EPG,100,Yes,alias,Matched
Lifetime Movie Network,846,Merged: Entertainment,[US] LIFETIME MOVIE,LifetimeMoviesNetwork.us,EPG,100,Fallback,alias,Matched (no programs)
Logo,847,Merged: Entertainment,,,,0,No,,No match
OWN: Oprah Winfrey Network,848,Merged: Entertainment,[US] OWN,OWN.us,EPG,100,Yes,alias,Matched
Oxygen,849,Merged: Entertainment,,,,0,No,,No match
Paramount Network,850,Merged: Entertainment,,,,0,No,,No match
Pop,851,Merged: Entertainment,[US] POP,StingrayPopularClassical.us,EPG,100,Yes,alias,Matched
ReelzChannel,852,Merged: Entertainment,[US] REELZ,ReelzChannel.us,EPG,100,Yes,alias,Matched
Syfy,853,Merged: Entertainment,,,,0,No,,No match
TBS,854,Merged: Entertainment,,,,0,No,,No match
TNT,855,Merged: Entertainment,[US] TNT,TNT.us,EPG,100,Yes,alias,Matched
truTV,856,Merged: Entertainment,,,,0,No,,No match
TV Land,857,Merged: Entertainment,,,,0,No,,No match
USA,859,Merged: Entertainment,,,,0,No,,No match
Viceland,860,Merged: Entertainment,,,,0,No,,No match
WE tv,861,Merged: Entertainment,[US] WE TV,WeTV.us,EPG,100,Yes,exact,Matched
WGN America,862,Merged: Entertainment,,,,0,No,,No match
Aspire,863,Merged: Entertainment,[US] ASPIRE,ASPiRE.us,EPG,100,Yes,exact,Matched
CleoTV,864,Merged: Entertainment,[US] CLEO TV,CleoTV.us,EPG,100,Yes,alias,Matched
E!,866,Merged: Entertainment,,,,0,No,,No match
FOX Soul,867,Merged: Entertainment,[US] FOX SOUL,FOXSOUL.us,EPG,100,Yes,exact,Matched
GET,868,Merged: Entertainment,,,,0,No,,No match
Heroes & Icons (H&I),869,Merged: Entertainment,[US] HEROES & ICONS,HeroesAndIconsNetwork.us,EPG,100,Yes,alias,Matched
ION East HD,870,Merged: Entertainment,[US] ION,P+ScottishProfessionalFootballLeague11.us,EPG,100,Yes,alias,Matched
LMN,871,Merged: Entertainment,[US] LIFETIME MOVIE,LifetimeMoviesNetwork.us,EPG,100,Fallback,alias,Matched (no programs)
MeTV,872,Merged: Entertainment,[US] ME TV,MeTV.us,EPG,100,Fallback,alias,Matched (no programs)
Ovation,873,Merged: Entertainment,[US] OVATION,OvationTV.us,EPG,100,Yes,exact,Matched
Pop TV,874,Merged: Entertainment,[US] POP,StingrayPopularClassical.us,EPG,100,Yes,exact,Matched
REELZ,875,Merged: Entertainment,[US] REELZ,ReelzChannel.us,EPG,100,Yes,exact,Matched
Revolt,876,Merged: Entertainment,[US] REVOLT,Revolt.us,EPG,100,Yes,exact,Matched
Start TV,877,Merged: Entertainment,[US] START TV,StartTV.us,EPG,100,Yes,exact,Matched
TV One (HD only),878,Merged: Entertainment,[US] TV ONE,TVOne.us,EPG,100,Yes,exact,Matched
USA Network,880,Merged: Entertainment,,,,0,No,,No match
Logo TV,884,Merged: Entertainment,,,,0,No,,No match
TV One,886,Merged: Entertainment,[US] TV ONE,TVOne.us,EPG,100,Yes,exact,Matched
UP,887,Merged: Entertainment,[US] UP TV,UP.us,EPG,100,Yes,exact,Matched
VICE,888,Merged: Entertainment,[US] VICE,Vice.us,EPG,100,Yes,exact,Matched
4seven,889,Merged: Entertainment,[UK] 4SEVEN,4seven.uk,EPG,100,Yes,exact,Matched
5 USA,890,Merged: Entertainment,[UK] 5 USA,5USA.uk,EPG,100,Yes,exact,Matched
5ACTION,891,Merged: Entertainment,[UK] 5 Action,5Action.uk,EPG,100,Yes,exact,Matched
5SELECT,892,Merged: Entertainment,[UK] 5 SELECT,5SELECT.uk,EPG,100,Yes,exact,Matched
5STAR,893,Merged: Entertainment,[UK] 5STAR,5STAR.uk,EPG,100,Yes,exact,Matched
BBC Alba HD,894,Merged: Entertainment,[UK] BBC ALBA,BBCAlba.uk,EPG,100,Yes,exact,Matched
BBC Scotland,896,Merged: Entertainment,[UK] BBC SCOTLAND,BBCScotland.uk,EPG,100,Yes,exact,Matched
BLAZE,898,Merged: Entertainment,[UK] BLAZE,Blaze.uk,EPG,100,Fallback,exact,Matched (no programs)
Challenge,899,Merged: Entertainment,[UK] CHALLENGE,Challenge.uk,EPG,100,Yes,exact,Matched
E4,900,Merged: Entertainment,[UK] E4,E4.uk,EPG,100,Yes,exact,Matched
E4 Extra,901,Merged: Entertainment,[UK] E4 EXTRA,E4Extra.uk,EPG,100,Yes,exact,Matched
ITV2,903,Merged: Entertainment,[UK] ITV 2,ITV2.uk,EPG,100,Yes,exact,Matched
ITV3,904,Merged: Entertainment,[UK] ITV 3,ITV3.uk,EPG,100,Yes,exact,Matched
ITV4,905,Merged: Entertainment,[UK] ITV 4,ITV4.uk,EPG,100,Yes,exact,Matched
More4,906,Merged: Entertainment,[UK] MORE4,More4.uk,EPG,100,Yes,exact,Matched
MTV,907,Merged: Entertainment,[UK] MTV,MTV.uk,EPG,100,Fallback,alias,Matched (no programs)
S4C,909,Merged: Entertainment,[UK] S4C,S4C.uk,EPG,100,Yes,exact,Matched
Sky Arts,910,Merged: Entertainment,[UK] SKY ARTS,SkyArts.uk,EPG,100,Yes,exact,Matched
Sky Atlantic,911,Merged: Entertainment,[UK] SKY ATLANTIC,SkyAtlantic.uk,EPG,100,Yes,exact,Matched
Sky Comedy,912,Merged: Entertainment,[UK] SKY COMEDY,SkyComedy.uk,EPG,100,Yes,exact,Matched
Sky Mix,913,Merged: Entertainment,,,,0,No,,No match
Sky One,914,Merged: Entertainment,,,,0,No,,No match
Sky Showcase,916,Merged: Entertainment,,,,0,No,,No match
Sky Witness,917,Merged: Entertainment,[UK] SKY WITNESS,SkyWitness.uk,EPG,100,Yes,exact,Matched
That's TV,918,Merged: Entertainment,[UK] THAT'S TV,ThatsTV.uk,EPG,100,Yes,exact,Matched
Together,919,Merged: Entertainment,[UK] TOGETHER,TogetherTV+1.uk,EPG,100,Yes,exact,Matched
U&alibi,920,Merged: Entertainment,[UK] ALIBI,UAndAlibi+1.uk,EPG,100,Yes,alias,Matched
U&Dave,921,Merged: Entertainment,[UK] DAVE,UandDave.uk,EPG,100,Fallback,alias,Matched (no programs)
U&GOLD,923,Merged: Entertainment,[UK] GOLD,Gold.uk,EPG,100,Fallback,alias,Matched (no programs)
U&YESTERDAY,925,Merged: Entertainment,[UK] YESTERDAY,UandYesterday+1.uk,EPG,100,Yes,alias,Matched
Cottage Life,1000,Merged: Reality & Lifestyle,[CA] COTTAGE LIFE,CottageLife.ca,EPG,100,Yes,exact,Matched
DIY Network,1001,Merged: Reality & Lifestyle,,,,0,No,,No match
DTOUR,1002,Merged: Reality & Lifestyle,[CA] DTOUR,DTOUR.ca,EPG,100,Yes,exact,Matched
HGTV,1003,Merged: Reality & Lifestyle,[CA] HGTV,HGTV.ca,EPG,100,Fallback,alias,Matched (no programs)
Slice,1004,Merged: Reality & Lifestyle,[CA] SLICE,Slice.ca,EPG,100,Yes,exact,Matched
DIY,1006,Merged: Reality & Lifestyle,[US] DIY NETWORK,MagnoliaNetwork.us,EPG,100,Yes,alias,Matched
HGTV,1008,Merged: Reality & Lifestyle,,,,0,No,,No match
TLC,1009,Merged: Reality & Lifestyle,,,,0,No,,No match
Bravo,1011,Merged: Reality & Lifestyle,,,,0,No,,No match
Magnolia Network,1017,Merged: Reality & Lifestyle,,,,0,No,,No match
OWN,1019,Merged: Reality & Lifestyle,[US] OWN,OWN.us,EPG,100,Yes,alias,Matched
Say Yes To The Dress,1021,Merged: Reality & Lifestyle,,,,0,No,,No match
The Design Network,1022,Merged: Reality & Lifestyle,[US] DESIGN NETWORK,TheDesignNetwork.us,EPG,100,Yes,exact,Matched
The Pet Collective,1024,Merged: Reality & Lifestyle,[US] THE PET COLLECTIVE,ThePetCollective.us,EPG,100,Yes,exact,Matched
UPTV,1026,Merged: Reality & Lifestyle,[US] UP TV,UP.us,EPG,100,Yes,alias,Matched
Destination America,1027,Merged: Reality & Lifestyle,[US] DESTINATION AMERICA,DestinationAmerica.us,EPG,100,Yes,exact,Matched
Discovery Life,1028,Merged: Reality & Lifestyle,[US] DISCOVERY LIFE,DiscoveryLifeChannel.us,EPG,100,Yes,exact,Matched
E! Entertainment Television,1029,Merged: Reality & Lifestyle,,,,0,No,,No match
FYI,1030,Merged: Reality & Lifestyle,[US] FYI,FYIChannel.us,EPG,100,Yes,exact,Matched
WE tv,1031,Merged: Reality & Lifestyle,[US] WE TV,WeTV.us,EPG,100,Yes,exact,Matched
DMAX,1032,Merged: Reality & Lifestyle,[UK] DMAX,DMAX.uk,EPG,100,Yes,exact,Matched
Quest Red,1033,Merged: Reality & Lifestyle,[UK] QUEST RED,QuestRed.uk,EPG,100,Yes,exact,Matched
Really,1034,Merged: Reality & Lifestyle,[UK] REALLY,Really.uk,EPG,100,Yes,exact,Matched
Peachtree TV,1101,Merged: Comedy,,,,0,No,,No match
The Comedy Network,1102,Merged: Comedy,,,,0,No,,No match
Comedy Central,1103,Merged: Comedy,[US] COMEDY TV,ComedyTV.us,EPG,100,Yes,alias,Matched
BOUNCE TV,1109,Merged: Comedy,[US] BOUNCE TV,BounceTV.us,EPG,100,Yes,exact,Matched
Comedy TV,1111,Merged: Comedy,[US] COMEDY TV,ComedyTV.us,EPG,100,Yes,exact,Matched
Cozi TV,1112,Merged: Comedy,[US] COZI,CoziTV.us,EPG,100,Yes,exact,Matched
FailArmy,1113,Merged: Comedy,[US] FAIL ARMY,FailArmy.us,EPG,100,Yes,exact,Matched
GRIT,1115,Merged: Comedy,[US] GRIT TV,Grit.us,EPG,100,Yes,exact,Matched
Three Stooges,1123,Merged: Comedy,,,,0,No,,No match
truTV,1124,Merged: Comedy,,,,0,No,,No match
Game Show Network,1125,Merged: Comedy,[US] GAME SHOW NETWORK,GameShowNetwork.us,EPG,100,Yes,exact,Matched
POP,1126,Merged: Comedy,[US] POP,StingrayPopularClassical.us,EPG,100,Yes,exact,Matched
REELZ,1127,Merged: Comedy,[US] REELZ,ReelzChannel.us,EPG,100,Yes,exact,Matched
TBS,1128,Merged: Comedy,,,,0,No,,No match
TV Land,1129,Merged: Comedy,,,,0,No,,No match
Comedy Central,1130,Merged: Comedy,[UK] COMEDY CENTRAL,ComedyCentral.uk,EPG,100,Fallback,alias,Matched (no programs)
Comedy Central Xtra,1131,Merged: Comedy,[UK] COMEDY CENTRAL EXTRA,ComedyCentralExtra.uk,EPG,95,Yes,fuzzy (95),Matched
Animal Planet,1200,Merged: Discovery,,,,0,No,,No match
Discovery Channel,1202,Merged: Discovery,,,,0,No,,No match
Discovery Science,1203,Merged: Discovery,,,,0,No,,No match
Discovery Velocity,1204,Merged: Discovery,,,,0,No,,No match
Documentary,1205,Merged: Discovery,[CA] DOCUMENTARY,DocumentaryCanada.ca,EPG,100,Fallback,exact,Matched (no programs)
H2,1206,Merged: Discovery,[CA] H2,HISTORY2.ca,EPG,100,Yes,exact,Matched
History,1207,Merged: Discovery,[CA] HISTORY,History.ca,EPG,100,Fallback,exact,Matched (no programs)
Love Nature,1208,Merged: Discovery,[CA] LOVE NATURE,LoveNature.ca,EPG,100,Fallback,exact,Matched (no programs)
National Geographic Channel,1209,Merged: Discovery,[CA] NATIONAL GEOGRAPHIC,NationalGeographic.ca,EPG,100,Yes,alias,Matched
Nat Geo Wild,1210,Merged: Discovery,[CA] NAT GEO WILD,NationalGeographicWild.ca,EPG,100,Fallback,alias,Matched (no programs)
Smithsonian Channel,1211,Merged: Discovery,[CA] SMITHSONIAN,SmithsonianChannel.ca,EPG,100,Fallback,alias,Matched (no programs)
American Heroes Channel,1212,Merged: Discovery,[US] AMERICAN HEROES CHANNEL,AmericanHeroesChannel.us,EPG,100,Yes,alias,Matched
Destination America,1213,Merged: Discovery,[US] DESTINATION AMERICA,DestinationAmerica.us,EPG,100,Yes,exact,Matched
Discovery Channel,1214,Merged: Discovery,,,,0,No,,No match
Discovery Family,1215,Merged: Discovery,[US] DISCOVERY FAMILY,DiscoveryFamilyChannel.us,EPG,100,Yes,exact,Matched
History,1216,Merged: Discovery,[US] HISTORY CHANNEL,History.us,EPG,100,Yes,exact,Matched
National Geographic,1217,Merged: Discovery,[US] NAT GEO,NationalGeographic.us,EPG,100,Fallback,alias,Matched (no programs)
Nat Geo WILD,1218,Merged: Discovery,[US] NAT GEO WILD,NationalGeographicWild.us,EPG,100,Yes,alias,Matched
Science,1219,Merged: Discovery,[US] DISCOVERY SCIENCE,ScienceChannel.us,EPG,100,Yes,alias,Matched
Smithsonian Channel,1220,Merged: Discovery,,,,0,No,,No match
Animal Planet,1221,Merged: Discovery,[US] ANIMAL PLANET,AnimalPlanet.us,EPG,100,Yes,alias,Matched
Bizarre Foods with Andrew Zimmern,1223,Merged: Discovery,,,,0,No,,No match
Bob Ross,1224,Merged: Discovery,[US] THE BOB ROSS CHANNEL,TheBobRossChannel.us,EPG,100,Yes,exact,Matched
Discovery,1227,Merged: Discovery,,,,0,No,,No match
Discovery Family Channel,1228,Merged: Discovery,[US] DISCOVERY FAMILY,DiscoveryFamilyChannel.us,EPG,100,Yes,exact,Matched
Discovery Life,1229,Merged: Discovery,[US] DISCOVERY LIFE,DiscoveryLifeChannel.us,EPG,100,Yes,exact,Matched
Documentary+,1230,Merged: Discovery,[US] DOCUMENTARY,Documentary+.us,EPG,100,Yes,fuzzy (100),Matched
Duck Dynasty,1231,Merged: Discovery,,,,0,No,,No match
"HISTORY Channel, The",1235,Merged: Discovery,[US] HISTORY CHANNEL,History.us,EPG,100,Yes,alias,Matched
Love Nature,1240,Merged: Discovery,[US] Love Nature,LoveNature.us,EPG,100,Yes,exact,Matched
Modern Marvels,1243,Merged: Discovery,,,,0,No,,No match
Mysterious Worlds,1245,Merged: Discovery,,,,0,No,,No match
National Geographic Channel,1246,Merged: Discovery,[US] NAT GEO,NationalGeographic.us,EPG,100,Fallback,alias,Matched (no programs)
History Channel,1249,Merged: Discovery,[US] HISTORY CHANNEL,History.us,EPG,100,Yes,exact,Matched
Military History Channel,1250,Merged: Discovery,[US] MILITARY HISTORY,MilitaryHistoryChannel.us,EPG,100,Yes,exact,Matched
Motor Trend,1251,Merged: Discovery,,,,0,No,,No match
Animal Planet,1252,Merged: Discovery,[UK] ANIMAL PLANET,AnimalPlanet.uk,EPG,100,Fallback,alias,Matched (no programs)
Discovery,1253,Merged: Discovery,[UK] DISCOVERY CHANNEL,DiscoveryChannel.uk,EPG,100,Fallback,alias,Matched (no programs)
Discovery History,1254,Merged: Discovery,[UK] DISCOVERY HISTORY,DiscoveryHistory.uk,EPG,100,Yes,alias,Matched
Discovery Turbo,1255,Merged: Discovery,[UK] DISCOVERY TURBO,DiscoveryTurbo.uk,EPG,100,Fallback,alias,Matched (no programs)
Discovery Science,1256,Merged: Discovery,,,,0,No,,No match
GREAT! tv,1257,Merged: Discovery,[UK] GREAT TV,GREAT!tv.uk,EPG,100,Yes,fuzzy (100),Matched
National Geographic,1258,Merged: Discovery,[UK] NAT GEO,NationalGeographicChannel.uk,EPG,100,Fallback,alias,Matched (no programs)
Nat Geo Wild,1259,Merged: Discovery,[UK] NAT GEO WILD,NationalGeographicWild.uk,EPG,100,Fallback,alias,Matched (no programs)
Sky Documentaries,1260,Merged: Discovery,[UK] SKY DOCUMENTARIES,SkyDocumentaries.uk,EPG,100,Yes,exact,Matched
Sky History,1261,Merged: Discovery,[UK] SKY HISTORY,SkyHistory.uk,EPG,100,Yes,exact,Matched
Sky History 2,1262,Merged: Discovery,[UK] SKY HISTORY 2,SkyHistory2.uk,EPG,100,Yes,exact,Matched
Sky Nature,1263,Merged: Discovery,[UK] SKY NATURE,SkyNature.uk,EPG,100,Yes,exact,Matched
Crime+ Investigation,1300,Merged: Crime,[CA] CRIME & INVESTIGATION,CrimePlusInvestigation.ca,EPG,100,Yes,fuzzy (100),Matched
Investigation Discovery,1301,Merged: Crime,[CA] INVESTIGATION DISCOVERY,InvestigationDiscovery.ca,EPG,100,Yes,alias,Matched
Crime & Investigation,1302,Merged: Crime,,,,0,No,,No match
Investigation Discovery,1303,Merged: Crime,,,,0,No,,No match
Justice Central,1304,Merged: Crime,[US] JUSTICE CENTRAL,JusticeCentral.us,EPG,100,Yes,exact,Matched
Justice Network,1305,Merged: Crime,[US] JUSTICE CENTRAL,JusticeCentral.us,EPG,100,Yes,exact,Matched
Cold Case Files,1306,Merged: Crime,,,,0,No,,No match
Court TV,1308,Merged: Crime,[US] COURT TV,CourtTV.us,EPG,100,Yes,exact,Matched
Crime 360,1309,Merged: Crime,,,,0,No,,No match
Crime Scenes,1310,Merged: Crime,,,,0,No,,No match
Living With Evil,1313,Merged: Crime,,,,0,No,,No match
Love Kills,1314,Merged: Crime,,,,0,No,,No match
Oxygen True Crime,1316,Merged: Crime,,,,0,No,,No match
Oxygen True Crime Archives,1317,Merged: Crime,,,,0,No,,No match
True Crime Now,1319,Merged: Crime,[US] TRUE CRIME NOW,TrueCrimeNow.us,EPG,100,Yes,exact,Matched
Crime & Investigation Network,1320,Merged: Crime,,,,0,No,,No match
Law & Crime Network,1322,Merged: Crime,,,,0,No,,No match
Court TV,1323,Merged: Crime,[UK] COURT TV,CourtTV.uk,EPG,100,Fallback,exact,Matched (no programs)
Crime+Investigation,1324,Merged: Crime,[UK] CRIME INVESTIGATION,Crime+Investigation.uk,EPG,97,Fallback,exact,Matched (no programs)
ID,1325,Merged: Crime,[UK] ID,ESRealMadridTV.uk,EPG,100,Fallback,exact,Matched (no programs)
LEGEND,1326,Merged: Crime,[UK] LEGEND,Legend.uk,EPG,100,Yes,exact,Matched
Sky Crime,1327,Merged: Crime,[UK] SKY CRIME,SkyCrime.uk,EPG,100,Yes,exact,Matched
