# Lineuparr v1.26.1062103
# Generated: 2026-04-16 15:05:28
# Lineup: US-CA-UK_CustomProvider-Merged_lineup.json
# Category Detail: normal
# Group Prefix: (auto)
# Match Sensitivity: exact
# Quality Ordering: True
# Rate Limiting: none
# M3U Sources: custom, 3-Crystal, 2-Dino, 1-Mega, 4-Lion (all)
# EPG Sources: EPG (all)
# Channel Profile: DirecTV
#
channel_name,channel_number,channel_group,matched_epg_name,matched_tvg_id,epg_source,confidence_score,has_program_data,match_method,status
Sportsnet ONE,214,Merged: Sports,[CA] SPORTSNET ONE,SportsnetOne.ca,EPG,100,Yes,alias,Matched
Sportsnet World,215,Merged: Sports,[CA] SPORTSNET WORLD,SportsnetWorld.ca,EPG,100,Yes,alias,Matched
TSN1,216,Merged: Sports,[CA] TSN 1,TSN1.ca,EPG,100,Yes,exact,Matched
TSN2,217,Merged: Sports,[CA] TSN 2,TSN2.ca,EPG,100,Yes,exact,Matched
TSN3,218,Merged: Sports,[CA] TSN 3,TSN3.ca,EPG,100,Yes,exact,Matched
TSN4,219,Merged: Sports,[CA] TSN 4,TSN4.ca,EPG,100,Yes,exact,Matched
TSN5,220,Merged: Sports,[CA] TSN 5,TSN5.ca,EPG,100,Yes,exact,Matched
WWE Network,221,Merged: Sports,,,,0,No,,No match
beIN SPORT,222,Merged: Sports,[US] BEIN SPORTS,beINSports.us,EPG,95,Yes,substring,Matched
beIN SPORTS en Español,223,Merged: Sports,,,,0,No,,No match
CBS Sports Network,225,Merged: Sports,[US] CBS SPORTS NETWORK,CBSSportsNetwork.us,EPG,100,Yes,alias,Matched
ESPN,226,Merged: Sports,,,,0,No,,No match
ESPN2,227,Merged: Sports,[US] ESPN 2,ESPN2.us,EPG,100,Yes,alias,Matched
ESPNEWS,228,Merged: Sports,[US] ESPN NEWS,ESPNEWS.us,EPG,100,Fallback,alias,Matched (no programs)
ESPNU,229,Merged: Sports,[US] ESPN U,ESPNU.us,EPG,100,Yes,alias,Matched
Fox Sports 1,230,Merged: Sports,[US] FOX SPORTS 1,FoxSports1.us,EPG,100,Yes,alias,Matched
Fox Sports 2,231,Merged: Sports,[US] FOX SPORTS 2,FoxSports2.us,EPG,100,Yes,alias,Matched
Golf Channel,232,Merged: Sports,[US] GOLF CHANNEL,GolfChannel.us,EPG,100,Yes,alias,Matched
MLB Network,233,Merged: Sports,[US] MLB NETWORK,MLBNetwork.us,EPG,100,Yes,alias,Matched
MLB Strike Zone,234,Merged: Sports,,,,0,No,,No match
NBA TV,235,Merged: Sports,[US] NBA TV,NBAtv.us,EPG,100,Yes,alias,Matched
NBCSN,236,Merged: Sports,[US] NBCSN,NBCSN.us,EPG,100,Yes,exact,Matched
NFL Network,237,Merged: Sports,[US] NFL NETWORK,NFLNetwork.us,EPG,100,Yes,alias,Matched
NFL RedZone,238,Merged: Sports,[US] NFL REDZONE,NFLRedZone.us,EPG,100,Yes,exact,Matched
NHL Network,239,Merged: Sports,[US] NHL NETWORK,NHLNetwork.us,EPG,100,Yes,alias,Matched
Olympic Channel,240,Merged: Sports,,,,0,No,,No match
Outside TV,241,Merged: Sports,[US] OUTSIDE TV,OutsideTelevision.us,EPG,100,Yes,exact,Matched
Pac-12 Network,242,Merged: Sports,,,,0,No,,No match
SEC Network,243,Merged: Sports,[US] SEC NETWORK,SECNetwork.us,EPG,100,Yes,alias,Matched
Tennis Channel,244,Merged: Sports,[US] TENNIS CHANNEL,TennisChannel.us,EPG,100,Yes,exact,Matched
TVG2,246,Merged: Sports,,,,0,No,,No match
ACC Digital Network,247,Merged: Sports,[US] ACC DIGITAL NETWORK,ACCDigitalNetwork.us,EPG,100,Yes,exact,Matched
ACC Network,248,Merged: Sports,[US] ACC NETWORK,ACCNetwork.us,EPG,100,Yes,alias,Matched
beIN SPORTS XTRA,250,Merged: Sports,[US] beIN SPORTS XTRA,beINSportsXtra.us,EPG,100,Yes,exact,Matched
Big Ten Network,251,Merged: Sports,[US] BTN,BigTen.us,EPG,100,Fallback,alias,Matched (no programs)
